trace,threshold,questions_total,small_only_accuracy,scheduled_accuracy,scheduled_gain_over_small,trigger_rate,error_questions_triggered,error_questions_total,correct_questions_triggered,false_alarm_correct_question_rate,fixed_error_questions,harmed_correct_questions,avg_handoff_count,first_trigger_progress_median,first_trigger_score_median,avg_small_generated_tokens,avg_small_actual_generated_tokens,avg_small_discarded_tokens,avg_large_generated_tokens,avg_param_weighted_token_cost,cost_per_gain_point,latency_mean_s,latency_p90_s
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.15,300,0.69,0.85,0.16,0.9966666666666667,93,93,206,0.9951690821256038,55,7,1.4046822742474916,0.16276041666666666,0.23379981517791748,148.65333333333334,202.37,53.71666666666667,170.62,1497.8950000000002,93.61843750000001,7.220519975026448,10.452443504333496
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.2,300,0.69,0.83,0.14,0.98,92,93,202,0.9758454106280193,52,10,1.3129251700680271,0.1953125,0.306795597076416,160.42,211.48333333333332,51.06333333333333,156.48333333333332,1412.6083333333331,100.9005952380952,7.432137484550476,10.49115073680878
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.25,300,0.69,0.8066666666666666,0.11666666666666667,0.9433333333333334,91,93,192,0.927536231884058,47,12,1.243816254416961,0.203125,0.362814724445343,174.04333333333332,221.14333333333335,47.1,141.20666666666668,1320.1616666666669,113.1567142857143,7.147724243799845,10.64818456172943
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.3,300,0.69,0.8033333333333333,0.11333333333333333,0.8833333333333333,90,93,175,0.8454106280193237,46,12,1.1849056603773584,0.22916666666666666,0.40979069471359253,186.72,228.31333333333333,41.593333333333334,127.55,1235.3200000000002,108.9988235294118,7.433337908585866,10.812010502815248
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.35,300,0.69,0.79,0.1,0.82,87,93,159,0.7681159420289855,42,12,1.1626016260162602,0.2421875,0.43950554728507996,200.72333333333333,237.23333333333332,36.51,112.62,1144.19,114.41900000000001,7.207775781154632,10.898171067237856
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.4,300,0.69,0.78,0.09,0.7033333333333334,81,93,130,0.6280193236714976,36,9,1.132701421800948,0.25390625,0.4684847593307495,218.32,249.02666666666667,30.706666666666667,92.01,1017.6100000000001,113.06777777777779,7.412118130524953,11.254081130027775
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.45,300,0.69,0.7833333333333333,0.09333333333333334,0.5533333333333333,77,93,89,0.42995169082125606,37,9,1.1204819277108433,0.2721354166666667,0.5217419862747192,241.05,262.91,21.86,68.10666666666667,871.1116666666667,93.33339285714285,6.707634927431743,10.254590272903442
observe_rollback_traces_mixed_fixed4_sweep015_050_gsm8k_test.json,0.5,300,0.69,0.7533333333333333,0.06333333333333334,0.44666666666666666,65,93,69,0.3333333333333333,27,8,1.1044776119402986,0.29296875,0.5655684471130371,257.72333333333336,273.26666666666665,15.543333333333333,50.38333333333333,762.5833333333333,120.40789473684208,6.4381521995862325,9.904964876174926
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.15,300,0.8033333333333333,0.89,0.08666666666666667,0.99,59,59,238,0.9875518672199171,33,7,1.2323232323232323,0.2265625,0.24430114030838013,111.20666666666666,147.99333333333334,36.78666666666667,103.66666666666667,947.6566666666668,109.345,5.075790792306265,7.777540898323061
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.2,300,0.8033333333333333,0.8933333333333333,0.09,0.96,58,59,230,0.9543568464730291,34,7,1.1597222222222223,0.2626953125,0.3283849358558655,121.05,156.29333333333332,35.24333333333333,90.21,865.9099999999999,96.21222222222221,4.866189205646515,7.353359675407411
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.25,300,0.8033333333333333,0.8866666666666667,0.08333333333333333,0.8666666666666667,56,59,204,0.8464730290456431,30,5,1.1576923076923078,0.2724609375,0.37263423204421997,131.33,162.51,31.18,77.71333333333334,787.7583333333333,94.531,4.625999776522319,6.9044934988021875
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.3,300,0.8033333333333333,0.8866666666666667,0.08333333333333333,0.7533333333333333,54,59,172,0.7136929460580913,30,5,1.1371681415929205,0.2802734375,0.4104776382446289,139.85,166.77666666666667,26.926666666666666,69.12,734.0050000000001,88.08060000000003,4.451169904867808,6.8641201734542845
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.35,300,0.8033333333333333,0.8866666666666667,0.08333333333333333,0.6666666666666666,53,59,147,0.6099585062240664,30,5,1.135,0.2841796875,0.4443059265613556,149.21,172.24333333333334,23.033333333333335,59.343333333333334,673.7683333333333,80.85220000000001,4.297928376197815,6.740547466278076
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.4,300,0.8033333333333333,0.8833333333333333,0.08,0.57,50,59,121,0.5020746887966805,28,4,1.1345029239766082,0.291015625,0.48517870903015137,156.40666666666667,176.29333333333332,19.886666666666667,50.35333333333333,616.9133333333333,77.11416666666666,4.098364919821421,6.697895050048831
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.45,300,0.8033333333333333,0.87,0.06666666666666667,0.45,45,59,90,0.37344398340248963,25,5,1.1185185185185185,0.291015625,0.5688530206680298,165.18666666666667,181.42,16.233333333333334,41.36666666666667,561.6966666666667,84.25450000000001,4.07548397620519,6.460123682022097
observe_rollback_traces_mixed_fixed4_sweep015_050_svamp_test.json,0.5,300,0.8033333333333333,0.86,0.056666666666666664,0.37,42,59,69,0.2863070539419087,23,6,1.0810810810810811,0.31640625,0.6013017892837524,172.57,185.19666666666666,12.626666666666667,33.72666666666667,513.8816666666667,90.685,4.067057150999705,6.412273502349855
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_gsm8k_test.json,0.2,300,0.69,0.8266666666666667,0.13666666666666666,0.98,92,93,202,0.9758454106280193,50,9,1.4149659863945578,0.1953125,0.3067956268787384,179.02666666666667,233.11666666666667,54.09,137.69333333333333,1313.5283333333332,96.11182926829268,6.528075601259867,9.981696414947512
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_gsm8k_test.json,0.3,300,0.69,0.8,0.11,0.8833333333333333,90,93,175,0.8454106280193237,44,11,1.2679245283018867,0.22916666666666666,0.4097907543182373,200.48,244.05,43.57,115.25666666666666,1172.8716666666667,106.62469696969697,6.122622599601746,9.509932184219359
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_gsm8k_test.json,0.35,300,0.69,0.78,0.09,0.82,87,93,159,0.7681159420289855,39,12,1.2235772357723578,0.2421875,0.43950554728507996,213.43666666666667,251.06333333333333,37.626666666666665,101.28666666666666,1085.6016666666667,120.62240740740741,5.920956958929698,9.464122319221497
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_gsm8k_test.json,0.4,300,0.69,0.7733333333333333,0.08333333333333333,0.7033333333333334,81,93,130,0.6280193236714976,34,9,1.1753554502369667,0.25390625,0.4684847593307495,225.47333333333333,256.72,31.246666666666666,85.26666666666667,981.9466666666667,117.83360000000002,5.644763906796773,9.292685890197756
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_gsm8k_test.json,0.45,300,0.69,0.7766666666666666,0.08666666666666667,0.5533333333333333,77,93,89,0.42995169082125606,34,8,1.1686746987951808,0.2721354166666667,0.5217419862747192,243.99666666666667,266.6566666666667,22.66,64.41666666666667,850.9016666666666,98.18096153846152,5.355331714948019,8.830965876579285
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_svamp_test.json,0.2,300,0.8033333333333333,0.8833333333333333,0.08,0.96,58,59,230,0.9543568464730291,33,9,1.1944444444444444,0.2626953125,0.3283849358558655,132.26,168.88,36.62,80.87,819.4100000000001,102.42625000000001,4.250570052464803,6.701999616622925
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_svamp_test.json,0.3,300,0.8033333333333333,0.88,0.07666666666666666,0.7533333333333333,54,59,172,0.7136929460580913,29,6,1.176991150442478,0.2802734375,0.4104776382446289,146.29333333333332,174.17666666666668,27.883333333333333,63.78666666666667,707.7716666666666,92.31804347826088,3.9551037319501243,6.644216060638428
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_svamp_test.json,0.35,300,0.8033333333333333,0.8833333333333333,0.08,0.6666666666666666,53,59,147,0.6099585062240664,30,6,1.18,0.2841796875,0.4443059265613556,155.35666666666665,179.35,23.993333333333332,54.43333333333333,650.0583333333333,81.25729166666666,3.8649188923835753,6.5858664512634295
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_svamp_test.json,0.4,300,0.8033333333333333,0.88,0.07666666666666666,0.57,50,59,121,0.5020746887966805,28,5,1.1637426900584795,0.291015625,0.48517870903015137,163.18666666666667,183.68,20.493333333333332,44.88666666666666,589.7266666666667,76.9208695652174,3.69629567305247,6.370299458503723
observe_rollback_traces_mixed_dynamic2to4_sweep020_045_svamp_test.json,0.45,300,0.8033333333333333,0.87,0.06666666666666667,0.45,45,59,90,0.37344398340248963,25,5,1.125925925925926,0.291015625,0.568852961063385,169.37,186.01,16.64,37.413333333333334,540.9083333333333,81.13624999999999,3.556551722685496,5.98884711265564
